metric,value
initial_price,0.7041757702827454
final_price,0.7334120168562669
total_return,0.041518393286639775
volatility,0.0011422731040056273
total_trades,9593.0
mean_return,4.0679641943782095e-05
std_return,0.0011422731040056273
min_price,0.7036177163142256
max_price,0.7453480607852541
